Gen: 0, Best: 80, Mean: 2001.0228
Gen: 1, Best: 77.4, Mean: 1834.433
Gen: 2, Best: 77.4, Mean: 1872.7057
Gen: 3, Best: 77.4, Mean: 1898.5648
Gen: 4, Best: 77.4, Mean: 1880.2329
Gen: 5, Best: 77.4, Mean: 1927.6414
Gen: 6, Best: 77.4, Mean: 1928.8103
Gen: 7, Best: 77.4, Mean: 1905.792
Gen: 8, Best: 77.4, Mean: 1893.5916
Gen: 9, Best: 77.4, Mean: 1802.7839
Gen: 10, Best: 77.4, Mean: 1852.2252
Gen: 11, Best: 77.4, Mean: 1904.5864
Gen: 12, Best: 77.4, Mean: 1790.4767
Gen: 13, Best: 77.4, Mean: 1803.5333
Gen: 14, Best: 77.4, Mean: 1842.9034
Gen: 15, Best: 77.4, Mean: 1711.7681
Gen: 16, Best: 77.4, Mean: 1735.9644
Gen: 17, Best: 77.4, Mean: 1702.591
Gen: 18, Best: 77.4, Mean: 1714.0249
Gen: 19, Best: 77.4, Mean: 1672.2178
Gen: 20, Best: 77.4, Mean: 1736.1119
Gen: 21, Best: 77.4, Mean: 1706.5386
Gen: 22, Best: 77.4, Mean: 1776.425
Gen: 23, Best: 77.4, Mean: 1701.9047
Gen: 24, Best: 69.4, Mean: 1723.6887
Gen: 25, Best: 69.4, Mean: 1680.4987
Gen: 26, Best: 65.8, Mean: 1670.0759
Gen: 27, Best: 65.8, Mean: 1619.5978
Gen: 28, Best: 65.8, Mean: 1514.8717
Gen: 29, Best: 65.8, Mean: 1618.9993
Gen: 30, Best: 55.7, Mean: 1594.4746
Gen: 31, Best: 55.7, Mean: 1627.0087
Gen: 32, Best: 55.7, Mean: 1551.4979
Gen: 33, Best: 55.7, Mean: 1514.6748
Gen: 34, Best: 55.7, Mean: 1640.8451
Gen: 35, Best: 55.7, Mean: 1607.3792
Gen: 36, Best: 55.7, Mean: 1462.8192
Gen: 37, Best: 55.7, Mean: 1602.0709
Gen: 38, Best: 55.7, Mean: 1522.9125
Gen: 39, Best: 54.8, Mean: 1527.0476
Gen: 40, Best: 54.8, Mean: 1560.6041
Gen: 41, Best: 54.8, Mean: 1566.5603
Gen: 42, Best: 54.8, Mean: 1416.587
Gen: 43, Best: 54.8, Mean: 1537.611
Gen: 44, Best: 54.8, Mean: 1467.1421
Gen: 45, Best: 53.4, Mean: 1403.3173
Gen: 46, Best: 53.4, Mean: 1436.5594
Gen: 47, Best: 53.4, Mean: 1354.5665
Gen: 48, Best: 53.4, Mean: 1557.2739
Gen: 49, Best: 53.4, Mean: 1424.7289
Gen: 50, Best: 53.4, Mean: 1410.153
Gen: 51, Best: 53.4, Mean: 1462.3635
Gen: 52, Best: 53.4, Mean: 1453.9192
Gen: 53, Best: 53.4, Mean: 1467.3599
Gen: 54, Best: 53.4, Mean: 1298.3387
Gen: 55, Best: 53.4, Mean: 1373.2786
Gen: 56, Best: 47.3, Mean: 1401.6206
Gen: 57, Best: 47.3, Mean: 1351.3723
Gen: 58, Best: 47.3, Mean: 1235.2096
Gen: 59, Best: 47.3, Mean: 1380.171
Gen: 60, Best: 47.3, Mean: 1347.5594
Gen: 61, Best: 47.3, Mean: 1411.1927
Gen: 62, Best: 47.3, Mean: 1391.1256
Gen: 63, Best: 47.3, Mean: 1313.0862
Gen: 64, Best: 47.3, Mean: 1427.3489
Gen: 65, Best: 47.3, Mean: 1404.2195
Gen: 66, Best: 47.3, Mean: 1287.899
Gen: 67, Best: 47.3, Mean: 1335.3745
Gen: 68, Best: 47.3, Mean: 1432.4053
Gen: 69, Best: 44.9, Mean: 1346.7167
Gen: 70, Best: 44.9, Mean: 1420.6769
Gen: 71, Best: 44.9, Mean: 1287.397
Gen: 72, Best: 44.9, Mean: 1329.9053
Gen: 73, Best: 44.9, Mean: 1274.0499
Gen: 74, Best: 44.9, Mean: 1307.1688
Gen: 75, Best: 44.9, Mean: 1337.109
Gen: 76, Best: 44.9, Mean: 1342.121
Gen: 77, Best: 44.9, Mean: 1316.214
Gen: 78, Best: 44.9, Mean: 1292.6409
Gen: 79, Best: 44.9, Mean: 1342.5562
Gen: 80, Best: 37.2, Mean: 1311.5068
Gen: 81, Best: 37.2, Mean: 1339.1803
Gen: 82, Best: 37.2, Mean: 1348.2002
Gen: 83, Best: 37.2, Mean: 1346.6771
Gen: 84, Best: 37.2, Mean: 1269.2284
Gen: 85, Best: 37.2, Mean: 1308.5354
Gen: 86, Best: 37.2, Mean: 1303.3104
Gen: 87, Best: 37.2, Mean: 1297.2837
Gen: 88, Best: 37.2, Mean: 1303.2474
Gen: 89, Best: 37.2, Mean: 1221.2411
Gen: 90, Best: 37.2, Mean: 1258.2476
Gen: 91, Best: 37.2, Mean: 1263.7279
Gen: 92, Best: 37.2, Mean: 1285.9818
Gen: 93, Best: 37.2, Mean: 1318.666
Gen: 94, Best: 37.2, Mean: 1269.223
Gen: 95, Best: 37.2, Mean: 1307.0046
Gen: 96, Best: 37.2, Mean: 1205.535
Gen: 97, Best: 37.2, Mean: 1373.5393
Gen: 98, Best: 37.2, Mean: 1315.8083
Gen: 99, Best: 37.2, Mean: 1305.2888
Gen: 100, Best: 37.2, Mean: 1306.9856
