Gen: 0, Best: 905.6, Mean: 3179.835
Gen: 1, Best: 680.6, Mean: 3088.1953
Gen: 2, Best: 489.5, Mean: 3154.1946
Gen: 3, Best: 489.5, Mean: 2959.0657
Gen: 4, Best: 489.5, Mean: 3066.87
Gen: 5, Best: 489.5, Mean: 3078.1384
Gen: 6, Best: 489.5, Mean: 2957.3826
Gen: 7, Best: 489.5, Mean: 2828.8782
Gen: 8, Best: 489.5, Mean: 2895.347
Gen: 9, Best: 212.1, Mean: 2863.7876
Gen: 10, Best: 212.1, Mean: 2884.0793
Gen: 11, Best: 203.1, Mean: 2742.3762
Gen: 12, Best: 203.1, Mean: 2710.007
Gen: 13, Best: 134.3, Mean: 2661.0583
Gen: 14, Best: 134.3, Mean: 2817.624
Gen: 15, Best: 134.3, Mean: 2660.8167
Gen: 16, Best: 134.3, Mean: 2576.9246
Gen: 17, Best: 134.3, Mean: 2496.707
Gen: 18, Best: 134.3, Mean: 2536.879
Gen: 19, Best: 134.3, Mean: 2438.5322
Gen: 20, Best: 134.3, Mean: 2503.9226
Gen: 21, Best: 134.3, Mean: 2452.631
Gen: 22, Best: 134.3, Mean: 2515.7031
Gen: 23, Best: 134.3, Mean: 2436.6104
Gen: 24, Best: 134.3, Mean: 2292.836
Gen: 25, Best: 134.3, Mean: 2387.287
Gen: 26, Best: 134.3, Mean: 2307.9622
Gen: 27, Best: 134.3, Mean: 2396.1802
Gen: 28, Best: 134.3, Mean: 2261.4043
Gen: 29, Best: 134.3, Mean: 2266.7676
Gen: 30, Best: 134.3, Mean: 2242.916
Gen: 31, Best: 134.3, Mean: 2381.677
Gen: 32, Best: 134.3, Mean: 2288.6226
Gen: 33, Best: 94.5, Mean: 2132.1265
Gen: 34, Best: 94.5, Mean: 2211.4119
Gen: 35, Best: 94.5, Mean: 2185.0227
Gen: 36, Best: 94.5, Mean: 2163.721
Gen: 37, Best: 94.5, Mean: 2052.478
Gen: 38, Best: 94.5, Mean: 2235.2827
Gen: 39, Best: 94.5, Mean: 2148.0662
Gen: 40, Best: 94.5, Mean: 2142.2515
Gen: 41, Best: 94.5, Mean: 1974.3837
Gen: 42, Best: 94.5, Mean: 2136.237
Gen: 43, Best: 87.9, Mean: 2120.5562
Gen: 44, Best: 87.9, Mean: 2013.7009
Gen: 45, Best: 87.9, Mean: 2019.9718
Gen: 46, Best: 87.9, Mean: 2038.049
Gen: 47, Best: 87.9, Mean: 2055.4197
Gen: 48, Best: 58.6, Mean: 1996.4761
Gen: 49, Best: 58.6, Mean: 1943.8918
Gen: 50, Best: 58.6, Mean: 2043.7583
Gen: 51, Best: 58.6, Mean: 1998.8534
Gen: 52, Best: 58.6, Mean: 1996.6205
Gen: 53, Best: 58.6, Mean: 2006.8263
Gen: 54, Best: 58.6, Mean: 1898.9857
Gen: 55, Best: 58.6, Mean: 1984.5206
Gen: 56, Best: 58.6, Mean: 1963.4426
Gen: 57, Best: 58.6, Mean: 1901.967
Gen: 58, Best: 58.6, Mean: 1828.8636
Gen: 59, Best: 58.6, Mean: 1879.7166
Gen: 60, Best: 58.6, Mean: 1938.0189
Gen: 61, Best: 58.6, Mean: 1927.1681
Gen: 62, Best: 58.6, Mean: 1901.532
Gen: 63, Best: 58.6, Mean: 1940.6039
Gen: 64, Best: 58.6, Mean: 1861.7239
Gen: 65, Best: 58.6, Mean: 1963.0061
Gen: 66, Best: 58.6, Mean: 1874.4432
Gen: 67, Best: 58.6, Mean: 1977.4275
Gen: 68, Best: 58.6, Mean: 1861.1189
Gen: 69, Best: 58.6, Mean: 1938.4061
Gen: 70, Best: 58.6, Mean: 1831.2885
Gen: 71, Best: 58.6, Mean: 1834.8687
Gen: 72, Best: 58.6, Mean: 1815.293
Gen: 73, Best: 58.6, Mean: 1875.8444
Gen: 74, Best: 58.6, Mean: 1760.2488
Gen: 75, Best: 58.6, Mean: 1895.0846
Gen: 76, Best: 58.6, Mean: 1829.1515
Gen: 77, Best: 58.6, Mean: 1899.7496
Gen: 78, Best: 58.6, Mean: 1872.9615
Gen: 79, Best: 58.6, Mean: 1823.4626
Gen: 80, Best: 58.6, Mean: 1789.5353
Gen: 81, Best: 58.6, Mean: 1732.726
Gen: 82, Best: 58.6, Mean: 1791.6194
Gen: 83, Best: 58.6, Mean: 1682.6375
Gen: 84, Best: 58.6, Mean: 1687.6654
Gen: 85, Best: 58.6, Mean: 1861.5603
Gen: 86, Best: 58.6, Mean: 1822.822
Gen: 87, Best: 58.6, Mean: 1838.5154
Gen: 88, Best: 58.6, Mean: 1824.9318
Gen: 89, Best: 58.6, Mean: 1747.0966
Gen: 90, Best: 58.6, Mean: 1687.895
Gen: 91, Best: 58.6, Mean: 1839.4529
Gen: 92, Best: 58.6, Mean: 1797.9944
Gen: 93, Best: 58.6, Mean: 1731.1766
Gen: 94, Best: 58.6, Mean: 1743.1371
Gen: 95, Best: 58.6, Mean: 1716.7334
Gen: 96, Best: 58.6, Mean: 1738.9973
Gen: 97, Best: 58.6, Mean: 1678.7717
Gen: 98, Best: 58.6, Mean: 1677.6637
Gen: 99, Best: 58.6, Mean: 1796.3574
Gen: 100, Best: 58.6, Mean: 1739.3875
