Gen: 0, Best: 421, Mean: 2888.5674
Gen: 1, Best: 421, Mean: 2896.1147
Gen: 2, Best: 421, Mean: 2684.2102
Gen: 3, Best: 42.2, Mean: 2671.8218
Gen: 4, Best: 42.2, Mean: 2708.2507
Gen: 5, Best: 42.2, Mean: 2532.1917
Gen: 6, Best: 42.2, Mean: 2522.612
Gen: 7, Best: 42.2, Mean: 2432.8538
Gen: 8, Best: 42.2, Mean: 2427.7761
Gen: 9, Best: 42.2, Mean: 2329.8972
Gen: 10, Best: 42.2, Mean: 2305.945
Gen: 11, Best: 42.2, Mean: 2144.0303
Gen: 12, Best: 42.2, Mean: 1972.1919
Gen: 13, Best: 42.2, Mean: 2009.9897
Gen: 14, Best: 42.2, Mean: 1935.9904
Gen: 15, Best: 32.1, Mean: 1924.8176
Gen: 16, Best: 32.1, Mean: 1826.2068
Gen: 17, Best: 31.7, Mean: 1809.7131
Gen: 18, Best: 31.7, Mean: 1709.9413
Gen: 19, Best: 27.8, Mean: 1647.786
Gen: 20, Best: 27.8, Mean: 1688.8046
Gen: 21, Best: 27.8, Mean: 1655.0896
Gen: 22, Best: 27.8, Mean: 1689.3706
Gen: 23, Best: 27.8, Mean: 1579.2391
Gen: 24, Best: 27.8, Mean: 1575.422
Gen: 25, Best: 27.8, Mean: 1460.3313
Gen: 26, Best: 27.8, Mean: 1612.1023
Gen: 27, Best: 27.8, Mean: 1561.6063
Gen: 28, Best: 27.8, Mean: 1413.1453
Gen: 29, Best: 27.8, Mean: 1431.6052
Gen: 30, Best: 27.8, Mean: 1398.159
Gen: 31, Best: 27.8, Mean: 1452.7013
Gen: 32, Best: 27.8, Mean: 1398.5104
Gen: 33, Best: 27.8, Mean: 1529.9657
Gen: 34, Best: 27.8, Mean: 1508.4928
Gen: 35, Best: 27.8, Mean: 1349.1589
Gen: 36, Best: 27.8, Mean: 1225.2831
Gen: 37, Best: 27.8, Mean: 1328.0083
Gen: 38, Best: 27.8, Mean: 1245.3804
Gen: 39, Best: 27.8, Mean: 1245.0052
Gen: 40, Best: 27.8, Mean: 1328.5608
Gen: 41, Best: 27.8, Mean: 1289.6732
Gen: 42, Best: 27.8, Mean: 1254.0642
Gen: 43, Best: 27.8, Mean: 1198.2823
Gen: 44, Best: 27.8, Mean: 1212.3372
Gen: 45, Best: 27.8, Mean: 1145.7985
Gen: 46, Best: 27.8, Mean: 1145.1729
Gen: 47, Best: 27.8, Mean: 1183.9197
Gen: 48, Best: 27.8, Mean: 1186.1705
Gen: 49, Best: 27.8, Mean: 1135.2917
Gen: 50, Best: 27.8, Mean: 1185.8047
Gen: 51, Best: 27.8, Mean: 1158.4963
Gen: 52, Best: 27.8, Mean: 1140.4136
Gen: 53, Best: 27.8, Mean: 1157.5536
Gen: 54, Best: 27.8, Mean: 1223.4149
Gen: 55, Best: 27.8, Mean: 1068.2211
Gen: 56, Best: 27.8, Mean: 1155.5883
Gen: 57, Best: 27.8, Mean: 1133.9128
Gen: 58, Best: 27.8, Mean: 1042.705
Gen: 59, Best: 27.8, Mean: 1161.4608
Gen: 60, Best: 27.8, Mean: 1163.2646
Gen: 61, Best: 27.8, Mean: 1056.05
Gen: 62, Best: 27.8, Mean: 1076.3059
Gen: 63, Best: 27.8, Mean: 1102.2869
Gen: 64, Best: 27.8, Mean: 1063.0203
Gen: 65, Best: 27.8, Mean: 1109.7244
Gen: 66, Best: 27.8, Mean: 1038.4729
Gen: 67, Best: 27.8, Mean: 1088.5619
Gen: 68, Best: 27.8, Mean: 1010.99084
Gen: 69, Best: 27.8, Mean: 1071.5905
Gen: 70, Best: 27.8, Mean: 1108.4573
Gen: 71, Best: 27.8, Mean: 1076.4413
Gen: 72, Best: 27.8, Mean: 1004.9347
Gen: 73, Best: 27.8, Mean: 1095.8214
Gen: 74, Best: 27.8, Mean: 1030.91
Gen: 75, Best: 27.8, Mean: 1021.4998
Gen: 76, Best: 27.8, Mean: 1079.4313
Gen: 77, Best: 27.8, Mean: 983.9018
Gen: 78, Best: 27.8, Mean: 1075.3535
Gen: 79, Best: 27.8, Mean: 1009.55426
Gen: 80, Best: 27.8, Mean: 1017.4718
Gen: 81, Best: 27.8, Mean: 1050.6792
Gen: 82, Best: 27.8, Mean: 972.32666
Gen: 83, Best: 27.8, Mean: 995.4866
Gen: 84, Best: 27.8, Mean: 1053.399
Gen: 85, Best: 27.8, Mean: 1027.4215
Gen: 86, Best: 27.8, Mean: 988.1605
Gen: 87, Best: 27.8, Mean: 919.77606
Gen: 88, Best: 27.8, Mean: 983.74945
Gen: 89, Best: 27.8, Mean: 1010.336
Gen: 90, Best: 27.8, Mean: 1014.58777
Gen: 91, Best: 27.8, Mean: 813.48236
Gen: 92, Best: 27.8, Mean: 1008.41
Gen: 93, Best: 27.8, Mean: 996.83887
Gen: 94, Best: 27.8, Mean: 821.1449
Gen: 95, Best: 27.8, Mean: 983.4643
Gen: 96, Best: 27.8, Mean: 963.60657
Gen: 97, Best: 27.8, Mean: 985.70764
Gen: 98, Best: 27.8, Mean: 875.5664
Gen: 99, Best: 27.8, Mean: 881.7576
Gen: 100, Best: 27.8, Mean: 952.77075
