Gen: 0, Best: 914.6, Mean: 3227.016
Gen: 1, Best: 914.6, Mean: 3203.386
Gen: 2, Best: 784.3, Mean: 3177.2407
Gen: 3, Best: 784.3, Mean: 3123.3557
Gen: 4, Best: 784.3, Mean: 3182.3057
Gen: 5, Best: 784.3, Mean: 3116.675
Gen: 6, Best: 784.3, Mean: 3172.356
Gen: 7, Best: 784.3, Mean: 3132.7866
Gen: 8, Best: 784.3, Mean: 3044.0442
Gen: 9, Best: 784.3, Mean: 3095.8613
Gen: 10, Best: 516.4, Mean: 3097.4968
Gen: 11, Best: 516.4, Mean: 2919.9363
Gen: 12, Best: 516.4, Mean: 3061.641
Gen: 13, Best: 516.4, Mean: 2884.1804
Gen: 14, Best: 408.8, Mean: 2950.8384
Gen: 15, Best: 408.8, Mean: 2951.175
Gen: 16, Best: 408.8, Mean: 2885.8936
Gen: 17, Best: 350.5, Mean: 2981.7478
Gen: 18, Best: 350.5, Mean: 2955.8787
Gen: 19, Best: 106.1, Mean: 2861.9194
Gen: 20, Best: 106.1, Mean: 2940.1182
Gen: 21, Best: 106.1, Mean: 2859.4019
Gen: 22, Best: 106.1, Mean: 2851.783
Gen: 23, Best: 106.1, Mean: 2844.5798
Gen: 24, Best: 106.1, Mean: 2760.0042
Gen: 25, Best: 106.1, Mean: 2855.607
Gen: 26, Best: 106.1, Mean: 2763.2524
Gen: 27, Best: 106.1, Mean: 2789.9292
Gen: 28, Best: 106.1, Mean: 2784.226
Gen: 29, Best: 106.1, Mean: 2770.8503
Gen: 30, Best: 106.1, Mean: 2639.7515
Gen: 31, Best: 106.1, Mean: 2823.8135
Gen: 32, Best: 106.1, Mean: 2669.865
Gen: 33, Best: 106.1, Mean: 2702.239
Gen: 34, Best: 106.1, Mean: 2663.742
Gen: 35, Best: 106.1, Mean: 2693.2178
Gen: 36, Best: 106.1, Mean: 2534.734
Gen: 37, Best: 106.1, Mean: 2726.2837
Gen: 38, Best: 106.1, Mean: 2585.4214
Gen: 39, Best: 106.1, Mean: 2784.7158
Gen: 40, Best: 106.1, Mean: 2629.1675
Gen: 41, Best: 106.1, Mean: 2671.925
Gen: 42, Best: 106.1, Mean: 2683.4602
Gen: 43, Best: 106.1, Mean: 2575.7832
Gen: 44, Best: 106.1, Mean: 2643.5535
Gen: 45, Best: 106.1, Mean: 2683.248
Gen: 46, Best: 106.1, Mean: 2458.6638
Gen: 47, Best: 106.1, Mean: 2551.469
Gen: 48, Best: 106.1, Mean: 2586.781
Gen: 49, Best: 106.1, Mean: 2547.3083
Gen: 50, Best: 106.1, Mean: 2505.8572
Gen: 51, Best: 106.1, Mean: 2633.9326
Gen: 52, Best: 106.1, Mean: 2532.0784
Gen: 53, Best: 106.1, Mean: 2457.6392
Gen: 54, Best: 106.1, Mean: 2481.252
Gen: 55, Best: 106.1, Mean: 2504.8303
Gen: 56, Best: 106.1, Mean: 2457.0889
Gen: 57, Best: 106.1, Mean: 2371.3442
Gen: 58, Best: 106.1, Mean: 2384.7222
Gen: 59, Best: 106.1, Mean: 2391.7131
Gen: 60, Best: 106.1, Mean: 2449.154
Gen: 61, Best: 106.1, Mean: 2395.0203
Gen: 62, Best: 106.1, Mean: 2543.7498
Gen: 63, Best: 106.1, Mean: 2473.654
Gen: 64, Best: 106.1, Mean: 2442.6328
Gen: 65, Best: 106.1, Mean: 2483.6133
Gen: 66, Best: 106.1, Mean: 2436.5032
Gen: 67, Best: 106.1, Mean: 2403.0566
Gen: 68, Best: 106.1, Mean: 2413.4946
Gen: 69, Best: 106.1, Mean: 2222.3025
Gen: 70, Best: 106.1, Mean: 2372.3079
Gen: 71, Best: 106.1, Mean: 2349.0415
Gen: 72, Best: 106.1, Mean: 2286.805
Gen: 73, Best: 106.1, Mean: 2295.0557
Gen: 74, Best: 106.1, Mean: 2283.6924
Gen: 75, Best: 106.1, Mean: 2344.2485
Gen: 76, Best: 106.1, Mean: 2341.082
Gen: 77, Best: 106.1, Mean: 2397.8184
Gen: 78, Best: 106.1, Mean: 2295.8645
Gen: 79, Best: 106.1, Mean: 2445.5208
Gen: 80, Best: 106.1, Mean: 2410.3408
Gen: 81, Best: 106.1, Mean: 2369.1792
Gen: 82, Best: 106.1, Mean: 2429.4036
Gen: 83, Best: 106.1, Mean: 2322.5396
Gen: 84, Best: 106.1, Mean: 2365.1506
Gen: 85, Best: 106.1, Mean: 2331.7634
Gen: 86, Best: 106.1, Mean: 2305.7764
Gen: 87, Best: 106.1, Mean: 2333.8582
Gen: 88, Best: 106.1, Mean: 2302.2478
Gen: 89, Best: 75.9, Mean: 2194.5657
Gen: 90, Best: 75.9, Mean: 2320.4365
Gen: 91, Best: 75.9, Mean: 2117.8513
Gen: 92, Best: 75.9, Mean: 2369.581
Gen: 93, Best: 75.9, Mean: 2291.4583
Gen: 94, Best: 75.9, Mean: 2176.168
Gen: 95, Best: 75.9, Mean: 2169.4946
Gen: 96, Best: 75.9, Mean: 2280.7947
Gen: 97, Best: 75.9, Mean: 2055.7463
Gen: 98, Best: 75.9, Mean: 2243.1436
Gen: 99, Best: 75.9, Mean: 2228.263
Gen: 100, Best: 75.9, Mean: 2211.2412
