Gen: 0, Best: 281, Mean: 1192.7252
Gen: 1, Best: 281, Mean: 1150.7454
Gen: 2, Best: 227.3, Mean: 1182.7394
Gen: 3, Best: 143.9, Mean: 1119.978
Gen: 4, Best: 143.9, Mean: 1097.7644
Gen: 5, Best: 143.9, Mean: 1147.3417
Gen: 6, Best: 143.9, Mean: 1134.5599
Gen: 7, Best: 143.9, Mean: 1150.878
Gen: 8, Best: 143.9, Mean: 1129.0483
Gen: 9, Best: 143.9, Mean: 1142.971
Gen: 10, Best: 143.9, Mean: 1092.7218
Gen: 11, Best: 143.9, Mean: 1107.4961
Gen: 12, Best: 143.9, Mean: 1121.4772
Gen: 13, Best: 143.9, Mean: 1105.6764
Gen: 14, Best: 143.9, Mean: 1086.1302
Gen: 15, Best: 134.5, Mean: 1046.4292
Gen: 16, Best: 134.5, Mean: 1057.9648
Gen: 17, Best: 134.5, Mean: 1104.9088
Gen: 18, Best: 134.5, Mean: 1084.6287
Gen: 19, Best: 134.5, Mean: 1066.3789
Gen: 20, Best: 134.5, Mean: 1059.7832
Gen: 21, Best: 124.1, Mean: 1043.2163
Gen: 22, Best: 124.1, Mean: 1084.8826
Gen: 23, Best: 124.1, Mean: 1083.3112
Gen: 24, Best: 124.1, Mean: 1056.9655
Gen: 25, Best: 124.1, Mean: 1086.5383
Gen: 26, Best: 124.1, Mean: 1030.0083
Gen: 27, Best: 124.1, Mean: 1090.5482
Gen: 28, Best: 124.1, Mean: 1033.5901
Gen: 29, Best: 124.1, Mean: 1090.7781
Gen: 30, Best: 124.1, Mean: 1035.3934
Gen: 31, Best: 124.1, Mean: 1036.575
Gen: 32, Best: 124.1, Mean: 1063.1187
Gen: 33, Best: 124.1, Mean: 1024.3387
Gen: 34, Best: 120.6, Mean: 1063.1151
Gen: 35, Best: 120.6, Mean: 968.1765
Gen: 36, Best: 120.6, Mean: 982.72784
Gen: 37, Best: 105, Mean: 956.8468
Gen: 38, Best: 105, Mean: 975.2914
Gen: 39, Best: 105, Mean: 979.17786
Gen: 40, Best: 105, Mean: 943.10767
Gen: 41, Best: 105, Mean: 985.18274
Gen: 42, Best: 105, Mean: 1011.2014
Gen: 43, Best: 105, Mean: 932.93634
Gen: 44, Best: 105, Mean: 918.73145
Gen: 45, Best: 105, Mean: 917.1957
Gen: 46, Best: 105, Mean: 922.557
Gen: 47, Best: 102.9, Mean: 916.87555
Gen: 48, Best: 102.9, Mean: 917.6349
Gen: 49, Best: 102.9, Mean: 887.3742
Gen: 50, Best: 102.9, Mean: 907.14716
Gen: 51, Best: 89.6, Mean: 898.6374
Gen: 52, Best: 89.6, Mean: 948.11993
Gen: 53, Best: 89.6, Mean: 908.60974
Gen: 54, Best: 89.6, Mean: 872.8422
Gen: 55, Best: 89.6, Mean: 856.71027
Gen: 56, Best: 89.6, Mean: 901.6521
Gen: 57, Best: 89.6, Mean: 954.2088
Gen: 58, Best: 87.3, Mean: 871.8301
Gen: 59, Best: 87.3, Mean: 932.7957
Gen: 60, Best: 87.3, Mean: 883.0145
Gen: 61, Best: 87.3, Mean: 857.7986
Gen: 62, Best: 87.3, Mean: 840.725
Gen: 63, Best: 87.3, Mean: 892.82983
Gen: 64, Best: 87.3, Mean: 849.9291
Gen: 65, Best: 87.3, Mean: 809.84515
Gen: 66, Best: 87.3, Mean: 823.59143
Gen: 67, Best: 87.3, Mean: 870.3472
Gen: 68, Best: 87.3, Mean: 827.5816
Gen: 69, Best: 87.3, Mean: 820.7921
Gen: 70, Best: 87.3, Mean: 837.3032
Gen: 71, Best: 87.3, Mean: 815.8218
Gen: 72, Best: 87.3, Mean: 810.95776
Gen: 73, Best: 87.3, Mean: 818.95105
Gen: 74, Best: 87.3, Mean: 853.2445
Gen: 75, Best: 87.3, Mean: 798.3275
Gen: 76, Best: 87.3, Mean: 859.36487
Gen: 77, Best: 87.3, Mean: 706.764
Gen: 78, Best: 87.3, Mean: 807.5618
Gen: 79, Best: 87.3, Mean: 816.8802
Gen: 80, Best: 87.3, Mean: 798.7004
Gen: 81, Best: 87.3, Mean: 746.191
Gen: 82, Best: 87.3, Mean: 750.5463
Gen: 83, Best: 87.3, Mean: 752.06104
Gen: 84, Best: 87.3, Mean: 769.7155
Gen: 85, Best: 87.3, Mean: 739.7234
Gen: 86, Best: 87.3, Mean: 749.2856
Gen: 87, Best: 87.3, Mean: 776.3924
Gen: 88, Best: 87.3, Mean: 785.9427
Gen: 89, Best: 87.3, Mean: 708.6043
Gen: 90, Best: 87.3, Mean: 712.6394
Gen: 91, Best: 87.3, Mean: 739.15765
Gen: 92, Best: 87.3, Mean: 760.9485
Gen: 93, Best: 87.3, Mean: 766.257
Gen: 94, Best: 87.3, Mean: 759.26337
Gen: 95, Best: 87.3, Mean: 748.04407
Gen: 96, Best: 87.3, Mean: 739.2507
Gen: 97, Best: 87.3, Mean: 697.20233
Gen: 98, Best: 87.3, Mean: 724.1195
Gen: 99, Best: 87.3, Mean: 707.8995
Gen: 100, Best: 87.3, Mean: 736.3182
