Gen: 0, Best: 694.2, Mean: 3459.6423
Gen: 1, Best: 694.2, Mean: 3391.0422
Gen: 2, Best: 694.2, Mean: 3317.1091
Gen: 3, Best: 694.2, Mean: 3400.6367
Gen: 4, Best: 590.5, Mean: 3414.1238
Gen: 5, Best: 590.5, Mean: 3428.3743
Gen: 6, Best: 590.5, Mean: 3348.8406
Gen: 7, Best: 590.5, Mean: 3279.2588
Gen: 8, Best: 590.5, Mean: 3328.838
Gen: 9, Best: 590.5, Mean: 3220.2515
Gen: 10, Best: 590.5, Mean: 3273.948
Gen: 11, Best: 590.5, Mean: 3239.0947
Gen: 12, Best: 590.5, Mean: 3148.226
Gen: 13, Best: 590.5, Mean: 3179.4922
Gen: 14, Best: 590.5, Mean: 3066.8533
Gen: 15, Best: 590.5, Mean: 3001.211
Gen: 16, Best: 590.5, Mean: 2995.1555
Gen: 17, Best: 590.5, Mean: 3009.9717
Gen: 18, Best: 462.9, Mean: 2860.1248
Gen: 19, Best: 462.9, Mean: 3004.1648
Gen: 20, Best: 462.9, Mean: 2830.668
Gen: 21, Best: 209.9, Mean: 2903.3704
Gen: 22, Best: 209.9, Mean: 2845.4343
Gen: 23, Best: 209.9, Mean: 2725.727
Gen: 24, Best: 209.9, Mean: 2765.1865
Gen: 25, Best: 209.9, Mean: 2712.68
Gen: 26, Best: 209.9, Mean: 2646.7874
Gen: 27, Best: 209.9, Mean: 2606.9976
Gen: 28, Best: 209.9, Mean: 2729.3079
Gen: 29, Best: 209.9, Mean: 2688.1638
Gen: 30, Best: 209.9, Mean: 2668.6206
Gen: 31, Best: 209.9, Mean: 2669.0996
Gen: 32, Best: 209.9, Mean: 2534.7053
Gen: 33, Best: 209.9, Mean: 2502.6184
Gen: 34, Best: 209.9, Mean: 2459.583
Gen: 35, Best: 209.9, Mean: 2563.6575
Gen: 36, Best: 209.9, Mean: 2518.154
Gen: 37, Best: 209.9, Mean: 2557.6619
Gen: 38, Best: 209.9, Mean: 2512.7112
Gen: 39, Best: 209.9, Mean: 2495.5652
Gen: 40, Best: 209.9, Mean: 2523.1958
Gen: 41, Best: 133.2, Mean: 2443.444
Gen: 42, Best: 133.2, Mean: 2545.1973
Gen: 43, Best: 133.2, Mean: 2567.6587
Gen: 44, Best: 133.2, Mean: 2466.8376
Gen: 45, Best: 133.2, Mean: 2357.5425
Gen: 46, Best: 133.2, Mean: 2461.115
Gen: 47, Best: 133.2, Mean: 2422.7612
Gen: 48, Best: 133.2, Mean: 2393.1367
Gen: 49, Best: 133.2, Mean: 2451.9973
Gen: 50, Best: 133.2, Mean: 2408.8015
Gen: 51, Best: 133.2, Mean: 2297.617
Gen: 52, Best: 133.2, Mean: 2317.1638
Gen: 53, Best: 133.2, Mean: 2286.9707
Gen: 54, Best: 133.2, Mean: 2259.4368
Gen: 55, Best: 133.2, Mean: 2255.5828
Gen: 56, Best: 133.2, Mean: 2260.007
Gen: 57, Best: 133.2, Mean: 2281.1558
Gen: 58, Best: 133.2, Mean: 2285.0654
Gen: 59, Best: 117.9, Mean: 2189.5457
Gen: 60, Best: 117.9, Mean: 2167.5056
Gen: 61, Best: 117.9, Mean: 2136.8818
Gen: 62, Best: 117.9, Mean: 2115.4736
Gen: 63, Best: 117.9, Mean: 2239.5305
Gen: 64, Best: 104.1, Mean: 2058.5513
Gen: 65, Best: 104.1, Mean: 2218.6968
Gen: 66, Best: 104.1, Mean: 2085.5083
Gen: 67, Best: 104.1, Mean: 2234.965
Gen: 68, Best: 104.1, Mean: 2117.2166
Gen: 69, Best: 104.1, Mean: 2247.8276
Gen: 70, Best: 104.1, Mean: 2170.859
Gen: 71, Best: 104.1, Mean: 2002.3839
Gen: 72, Best: 104.1, Mean: 2072.6033
Gen: 73, Best: 104.1, Mean: 2132.9773
Gen: 74, Best: 104.1, Mean: 2019.6052
Gen: 75, Best: 104.1, Mean: 1975.8353
Gen: 76, Best: 104.1, Mean: 2010.7198
Gen: 77, Best: 104.1, Mean: 2085.9573
Gen: 78, Best: 104.1, Mean: 2087.4087
Gen: 79, Best: 104.1, Mean: 1999.1381
Gen: 80, Best: 104.1, Mean: 1926.933
Gen: 81, Best: 104.1, Mean: 2035.5862
Gen: 82, Best: 104.1, Mean: 2047.3354
Gen: 83, Best: 104.1, Mean: 2048.2373
Gen: 84, Best: 104.1, Mean: 1952.6047
Gen: 85, Best: 104.1, Mean: 1985.9708
Gen: 86, Best: 104.1, Mean: 2072.8672
Gen: 87, Best: 104.1, Mean: 2144.8596
Gen: 88, Best: 104.1, Mean: 2112.9075
Gen: 89, Best: 104.1, Mean: 2115.2646
Gen: 90, Best: 104.1, Mean: 1976.5482
Gen: 91, Best: 104.1, Mean: 1989.096
Gen: 92, Best: 104.1, Mean: 1903.1971
Gen: 93, Best: 104.1, Mean: 2039.784
Gen: 94, Best: 104.1, Mean: 2035.2848
Gen: 95, Best: 104.1, Mean: 1954.5658
Gen: 96, Best: 104.1, Mean: 1964.0796
Gen: 97, Best: 104.1, Mean: 1962.9667
Gen: 98, Best: 104.1, Mean: 1925.9796
Gen: 99, Best: 104.1, Mean: 1961.8097
Gen: 100, Best: 104.1, Mean: 2042.1051
