Gen: 0, Best: 10969.5, Mean: 21117.328
Gen: 1, Best: 10299.2, Mean: 21071.406
Gen: 2, Best: 10299.2, Mean: 20781.164
Gen: 3, Best: 10119.1, Mean: 21316.291
Gen: 4, Best: 9853.6, Mean: 21070.209
Gen: 5, Best: 3122.1, Mean: 20695.156
Gen: 6, Best: 3122.1, Mean: 21027.662
Gen: 7, Best: 3122.1, Mean: 20983.912
Gen: 8, Best: 3122.1, Mean: 21020.336
Gen: 9, Best: 3122.1, Mean: 20536.396
Gen: 10, Best: 3122.1, Mean: 20369.479
Gen: 11, Best: 3122.1, Mean: 20515.275
Gen: 12, Best: 3122.1, Mean: 20142.488
Gen: 13, Best: 3122.1, Mean: 20012.34
Gen: 14, Best: 3122.1, Mean: 20302.547
Gen: 15, Best: 3122.1, Mean: 19475.566
Gen: 16, Best: 3122.1, Mean: 20159.422
Gen: 17, Best: 3122.1, Mean: 20012.707
Gen: 18, Best: 3122.1, Mean: 19824.143
Gen: 19, Best: 3122.1, Mean: 20309.254
Gen: 20, Best: 3122.1, Mean: 19850.809
Gen: 21, Best: 3122.1, Mean: 19483.03
Gen: 22, Best: 3122.1, Mean: 19211.105
Gen: 23, Best: 3122.1, Mean: 19795.533
Gen: 24, Best: 3122.1, Mean: 18540.357
Gen: 25, Best: 3122.1, Mean: 18965.256
Gen: 26, Best: 3122.1, Mean: 19205.916
Gen: 27, Best: 3122.1, Mean: 18913.803
Gen: 28, Best: 3122.1, Mean: 18706.982
Gen: 29, Best: 3122.1, Mean: 18423.156
Gen: 30, Best: 3122.1, Mean: 17637.006
Gen: 31, Best: 3122.1, Mean: 17731.828
Gen: 32, Best: 3122.1, Mean: 17575.72
Gen: 33, Best: 3122.1, Mean: 17063.205
Gen: 34, Best: 3122.1, Mean: 17695.676
Gen: 35, Best: 3003.6, Mean: 17514.795
Gen: 36, Best: 3003.6, Mean: 16295.509
Gen: 37, Best: 2845.1, Mean: 15681.769
Gen: 38, Best: 2845.1, Mean: 15808.755
Gen: 39, Best: 480.4, Mean: 14820.776
Gen: 40, Best: 480.4, Mean: 14616.832
Gen: 41, Best: 480.4, Mean: 14129.102
Gen: 42, Best: 480.4, Mean: 13974.922
Gen: 43, Best: 480.4, Mean: 13476.536
Gen: 44, Best: 163.5, Mean: 13464.458
Gen: 45, Best: 163.5, Mean: 13029.096
Gen: 46, Best: 89, Mean: 12360.583
Gen: 47, Best: 89, Mean: 12713.383
Gen: 48, Best: 89, Mean: 12190.857
Gen: 49, Best: 89, Mean: 11555.178
Gen: 50, Best: 89, Mean: 11194.739
Gen: 51, Best: 89, Mean: 11876.782
Gen: 52, Best: 89, Mean: 11207.893
Gen: 53, Best: 89, Mean: 11170.518
Gen: 54, Best: 89, Mean: 11242.869
Gen: 55, Best: 80.8, Mean: 10879.011
Gen: 56, Best: 80.8, Mean: 10787.962
Gen: 57, Best: 80.8, Mean: 11014.658
Gen: 58, Best: 80.7, Mean: 11009.785
Gen: 59, Best: 80.1, Mean: 10843.662
Gen: 60, Best: 80.1, Mean: 10904.372
Gen: 61, Best: 80.1, Mean: 10669.254
Gen: 62, Best: 75.6, Mean: 10075.501
Gen: 63, Best: 75.6, Mean: 10528.03
Gen: 64, Best: 75.6, Mean: 9959.598
Gen: 65, Best: 75.6, Mean: 10011.963
Gen: 66, Best: 75.6, Mean: 10041.739
Gen: 67, Best: 75.6, Mean: 10624.109
Gen: 68, Best: 75.6, Mean: 9621.432
Gen: 69, Best: 75.6, Mean: 9888.512
Gen: 70, Best: 75.6, Mean: 9692.249
Gen: 71, Best: 75.6, Mean: 10337.823
Gen: 72, Best: 75.6, Mean: 9894.845
Gen: 73, Best: 75.6, Mean: 10400.979
Gen: 74, Best: 75.6, Mean: 9657.872
Gen: 75, Best: 75.6, Mean: 9501.763
Gen: 76, Best: 75.6, Mean: 9480.097
Gen: 77, Best: 75.6, Mean: 9352.9375
Gen: 78, Best: 75.6, Mean: 9984.302
Gen: 79, Best: 75.6, Mean: 9633.649
Gen: 80, Best: 75.6, Mean: 9932.415
Gen: 81, Best: 75.6, Mean: 9287.86
Gen: 82, Best: 75.6, Mean: 9305.579
Gen: 83, Best: 75.6, Mean: 8944.339
Gen: 84, Best: 72.4, Mean: 9534.958
Gen: 85, Best: 72.4, Mean: 9003.45
Gen: 86, Best: 72.4, Mean: 9024.951
Gen: 87, Best: 72.4, Mean: 9072.361
Gen: 88, Best: 72.4, Mean: 8781.98
Gen: 89, Best: 72.4, Mean: 8761.65
Gen: 90, Best: 72.4, Mean: 8467.636
Gen: 91, Best: 72.4, Mean: 9195.153
Gen: 92, Best: 72.4, Mean: 9582.77
Gen: 93, Best: 72.4, Mean: 8673.306
Gen: 94, Best: 72.4, Mean: 8839.73
Gen: 95, Best: 72.4, Mean: 9603.401
Gen: 96, Best: 72.4, Mean: 9138.504
Gen: 97, Best: 71.8, Mean: 8826.392
Gen: 98, Best: 71.8, Mean: 8544.225
Gen: 99, Best: 71.8, Mean: 8267.224
Gen: 100, Best: 71.5, Mean: 8949.73
