Gen: 0, Best: 11785, Mean: 22620.172
Gen: 1, Best: 11785, Mean: 22732.166
Gen: 2, Best: 11785, Mean: 22822.867
Gen: 3, Best: 10700.6, Mean: 22851.49
Gen: 4, Best: 10484.4, Mean: 22169.857
Gen: 5, Best: 10484.4, Mean: 22388.42
Gen: 6, Best: 9362.5, Mean: 22522.566
Gen: 7, Best: 9362.5, Mean: 22087.057
Gen: 8, Best: 9203.9, Mean: 22285.906
Gen: 9, Best: 9203.9, Mean: 22697.143
Gen: 10, Best: 9203.9, Mean: 21924.965
Gen: 11, Best: 4403.4, Mean: 21639.176
Gen: 12, Best: 4403.4, Mean: 22492.02
Gen: 13, Best: 4403.4, Mean: 22164.72
Gen: 14, Best: 4403.4, Mean: 22585.809
Gen: 15, Best: 4403.4, Mean: 22105.271
Gen: 16, Best: 4403.4, Mean: 22421.535
Gen: 17, Best: 4403.4, Mean: 22111.258
Gen: 18, Best: 4403.4, Mean: 21657.617
Gen: 19, Best: 4403.4, Mean: 21677.258
Gen: 20, Best: 4403.4, Mean: 22171.174
Gen: 21, Best: 4403.4, Mean: 21633.111
Gen: 22, Best: 4403.4, Mean: 21492.082
Gen: 23, Best: 4403.4, Mean: 21713.215
Gen: 24, Best: 4403.4, Mean: 21711.104
Gen: 25, Best: 4403.4, Mean: 21555.654
Gen: 26, Best: 4403.4, Mean: 21486.885
Gen: 27, Best: 4403.4, Mean: 21360.06
Gen: 28, Best: 4403.4, Mean: 20865.021
Gen: 29, Best: 4403.4, Mean: 20696.375
Gen: 30, Best: 4403.4, Mean: 20754.068
Gen: 31, Best: 4403.4, Mean: 20295.93
Gen: 32, Best: 4403.4, Mean: 20520.281
Gen: 33, Best: 4403.4, Mean: 20281.535
Gen: 34, Best: 4403.4, Mean: 20597.43
Gen: 35, Best: 4403.4, Mean: 20126.563
Gen: 36, Best: 4403.4, Mean: 20361.451
Gen: 37, Best: 4403.4, Mean: 20107.229
Gen: 38, Best: 1717.5, Mean: 19794.285
Gen: 39, Best: 1717.5, Mean: 19429.3
Gen: 40, Best: 1717.5, Mean: 19668.338
Gen: 41, Best: 1717.5, Mean: 19437.201
Gen: 42, Best: 1717.5, Mean: 19405.877
Gen: 43, Best: 1717.5, Mean: 18617.365
Gen: 44, Best: 1717.5, Mean: 19028.176
Gen: 45, Best: 1717.5, Mean: 19913.707
Gen: 46, Best: 1717.5, Mean: 18733.102
Gen: 47, Best: 1717.5, Mean: 18547.459
Gen: 48, Best: 1717.5, Mean: 18341.164
Gen: 49, Best: 1717.5, Mean: 18909.637
Gen: 50, Best: 1717.5, Mean: 18669.783
Gen: 51, Best: 1717.5, Mean: 18013.813
Gen: 52, Best: 1717.5, Mean: 18609.912
Gen: 53, Best: 1717.5, Mean: 18138.537
Gen: 54, Best: 1717.5, Mean: 17696.076
Gen: 55, Best: 1717.5, Mean: 18151.342
Gen: 56, Best: 1717.5, Mean: 18179.441
Gen: 57, Best: 1717.5, Mean: 18154.666
Gen: 58, Best: 1717.5, Mean: 18710.99
Gen: 59, Best: 1717.5, Mean: 18058.072
Gen: 60, Best: 1717.5, Mean: 18276.861
Gen: 61, Best: 1717.5, Mean: 18281.293
Gen: 62, Best: 1717.5, Mean: 18268.4
Gen: 63, Best: 1717.5, Mean: 18365.71
Gen: 64, Best: 1717.5, Mean: 17926.836
Gen: 65, Best: 1717.5, Mean: 18260.59
Gen: 66, Best: 1717.5, Mean: 18078.78
Gen: 67, Best: 1717.5, Mean: 17563.725
Gen: 68, Best: 1717.5, Mean: 17692.604
Gen: 69, Best: 1717.5, Mean: 16622.98
Gen: 70, Best: 1717.5, Mean: 17237.793
Gen: 71, Best: 1717.5, Mean: 17184.79
Gen: 72, Best: 1717.5, Mean: 17283.752
Gen: 73, Best: 1717.5, Mean: 17129.621
Gen: 74, Best: 1717.5, Mean: 17210.852
Gen: 75, Best: 1717.5, Mean: 17461.246
Gen: 76, Best: 1717.5, Mean: 17583.19
Gen: 77, Best: 1717.5, Mean: 17513.81
Gen: 78, Best: 1332.3, Mean: 17344.512
Gen: 79, Best: 1332.3, Mean: 17229.666
Gen: 80, Best: 1332.3, Mean: 16785.246
Gen: 81, Best: 1332.3, Mean: 17285.178
Gen: 82, Best: 1332.3, Mean: 16890.512
Gen: 83, Best: 1332.3, Mean: 17104.215
Gen: 84, Best: 1332.3, Mean: 16784.121
Gen: 85, Best: 1332.3, Mean: 16649.299
Gen: 86, Best: 1332.3, Mean: 16488.783
Gen: 87, Best: 1332.3, Mean: 16805.488
Gen: 88, Best: 1332.3, Mean: 16932.338
Gen: 89, Best: 1332.3, Mean: 16587.898
Gen: 90, Best: 1332.3, Mean: 16610.012
Gen: 91, Best: 1332.3, Mean: 17056.51
Gen: 92, Best: 1332.3, Mean: 16424.396
Gen: 93, Best: 1332.3, Mean: 16429.9
Gen: 94, Best: 1332.3, Mean: 16739.662
Gen: 95, Best: 1332.3, Mean: 16596.3
Gen: 96, Best: 1332.3, Mean: 16127.97
Gen: 97, Best: 1332.3, Mean: 16330.017
Gen: 98, Best: 1332.3, Mean: 16834.145
Gen: 99, Best: 1332.3, Mean: 16237.385
Gen: 100, Best: 1332.3, Mean: 16434.203
