Gen: 0, Best: 13314, Mean: 22350.215
Gen: 1, Best: 13314, Mean: 22359.898
Gen: 2, Best: 7988.8, Mean: 22532.271
Gen: 3, Best: 7988.8, Mean: 22258.092
Gen: 4, Best: 7988.8, Mean: 22464.928
Gen: 5, Best: 7988.8, Mean: 22278.5
Gen: 6, Best: 7988.8, Mean: 22445.201
Gen: 7, Best: 7988.8, Mean: 22458.826
Gen: 8, Best: 7988.8, Mean: 21866.494
Gen: 9, Best: 7988.8, Mean: 21835.984
Gen: 10, Best: 7988.8, Mean: 22105.074
Gen: 11, Best: 7988.8, Mean: 21812.7
Gen: 12, Best: 7988.8, Mean: 21506.863
Gen: 13, Best: 7988.8, Mean: 21946.098
Gen: 14, Best: 7988.8, Mean: 21571.209
Gen: 15, Best: 7988.8, Mean: 21933.836
Gen: 16, Best: 7988.8, Mean: 21916.676
Gen: 17, Best: 7988.8, Mean: 21827.72
Gen: 18, Best: 7988.8, Mean: 22125.27
Gen: 19, Best: 7988.8, Mean: 21621.766
Gen: 20, Best: 7988.8, Mean: 21490.244
Gen: 21, Best: 7988.8, Mean: 22381.588
Gen: 22, Best: 7988.8, Mean: 21486.646
Gen: 23, Best: 7988.8, Mean: 21149.71
Gen: 24, Best: 7988.8, Mean: 21233.73
Gen: 25, Best: 7988.8, Mean: 21357.943
Gen: 26, Best: 7988.8, Mean: 21028.979
Gen: 27, Best: 6208.2, Mean: 21594.502
Gen: 28, Best: 6208.2, Mean: 21074.945
Gen: 29, Best: 6208.2, Mean: 21276.049
Gen: 30, Best: 6208.2, Mean: 21150.693
Gen: 31, Best: 6208.2, Mean: 21498.91
Gen: 32, Best: 6208.2, Mean: 20949.9
Gen: 33, Best: 6208.2, Mean: 20701.857
Gen: 34, Best: 6208.2, Mean: 21035.607
Gen: 35, Best: 6208.2, Mean: 21167.436
Gen: 36, Best: 6208.2, Mean: 20908.676
Gen: 37, Best: 6208.2, Mean: 20953.455
Gen: 38, Best: 6208.2, Mean: 21021.94
Gen: 39, Best: 6208.2, Mean: 20560.2
Gen: 40, Best: 6208.2, Mean: 20409.406
Gen: 41, Best: 6208.2, Mean: 20803.94
Gen: 42, Best: 6208.2, Mean: 20327.979
Gen: 43, Best: 6208.2, Mean: 20661.818
Gen: 44, Best: 6208.2, Mean: 20732.26
Gen: 45, Best: 6208.2, Mean: 20035.447
Gen: 46, Best: 6208.2, Mean: 20425.52
Gen: 47, Best: 6208.2, Mean: 20268.92
Gen: 48, Best: 6208.2, Mean: 19919.078
Gen: 49, Best: 6208.2, Mean: 20160.248
Gen: 50, Best: 6208.2, Mean: 20226.453
Gen: 51, Best: 6208.2, Mean: 19924.666
Gen: 52, Best: 6208.2, Mean: 20189.887
Gen: 53, Best: 6208.2, Mean: 20444.016
Gen: 54, Best: 6208.2, Mean: 20328.174
Gen: 55, Best: 6208.2, Mean: 20198.02
Gen: 56, Best: 6208.2, Mean: 20098.17
Gen: 57, Best: 6208.2, Mean: 20467.33
Gen: 58, Best: 6208.2, Mean: 20304.756
Gen: 59, Best: 6208.2, Mean: 20251.465
Gen: 60, Best: 6208.2, Mean: 20101.293
Gen: 61, Best: 6208.2, Mean: 20149.68
Gen: 62, Best: 6208.2, Mean: 19717.56
Gen: 63, Best: 6208.2, Mean: 20230.453
Gen: 64, Best: 6208.2, Mean: 19881.496
Gen: 65, Best: 6208.2, Mean: 20111.86
Gen: 66, Best: 6208.2, Mean: 20296.9
Gen: 67, Best: 6208.2, Mean: 19528.977
Gen: 68, Best: 6208.2, Mean: 19731.285
Gen: 69, Best: 6208.2, Mean: 19879.174
Gen: 70, Best: 6208.2, Mean: 20247.44
Gen: 71, Best: 6208.2, Mean: 20559.258
Gen: 72, Best: 6208.2, Mean: 20399.094
Gen: 73, Best: 6208.2, Mean: 19807.73
Gen: 74, Best: 6208.2, Mean: 19435.313
Gen: 75, Best: 6208.2, Mean: 19910.02
Gen: 76, Best: 6208.2, Mean: 19778.225
Gen: 77, Best: 6208.2, Mean: 19981.99
Gen: 78, Best: 6208.2, Mean: 19619.71
Gen: 79, Best: 6208.2, Mean: 19828.93
Gen: 80, Best: 6208.2, Mean: 19981.334
Gen: 81, Best: 6208.2, Mean: 19376.197
Gen: 82, Best: 6208.2, Mean: 20028.365
Gen: 83, Best: 6208.2, Mean: 19062.982
Gen: 84, Best: 6208.2, Mean: 19518.537
Gen: 85, Best: 6208.2, Mean: 18748.238
Gen: 86, Best: 5751.2, Mean: 19148.738
Gen: 87, Best: 5751.2, Mean: 19531.715
Gen: 88, Best: 5751.2, Mean: 19442.117
Gen: 89, Best: 5751.2, Mean: 18863.521
Gen: 90, Best: 5751.2, Mean: 19434.57
Gen: 91, Best: 5751.2, Mean: 18860.295
Gen: 92, Best: 5751.2, Mean: 19169.723
Gen: 93, Best: 5751.2, Mean: 19294.535
Gen: 94, Best: 4433.2, Mean: 18699.244
Gen: 95, Best: 4433.2, Mean: 18834.16
Gen: 96, Best: 4433.2, Mean: 18639.51
Gen: 97, Best: 4433.2, Mean: 18751.373
Gen: 98, Best: 4433.2, Mean: 18759.107
Gen: 99, Best: 4433.2, Mean: 18977.676
Gen: 100, Best: 4433.2, Mean: 18928.492
