Gen: 0, Best: 3035.7, Mean: 15217.832
Gen: 1, Best: 3020, Mean: 14755.078
Gen: 2, Best: 3020, Mean: 14043.928
Gen: 3, Best: 2444.5, Mean: 13287.309
Gen: 4, Best: 649.1, Mean: 12644.27
Gen: 5, Best: 65.7, Mean: 11310.42
Gen: 6, Best: 65.7, Mean: 10782.05
Gen: 7, Best: 65.7, Mean: 9586.327
Gen: 8, Best: 63.1, Mean: 8900.192
Gen: 9, Best: 55.4, Mean: 8376.056
Gen: 10, Best: 53.6, Mean: 8563.258
Gen: 11, Best: 53.6, Mean: 7778.165
Gen: 12, Best: 53.6, Mean: 8225.0205
Gen: 13, Best: 53.6, Mean: 7044.8516
Gen: 14, Best: 53.6, Mean: 6463.2207
Gen: 15, Best: 53.6, Mean: 5480.7803
Gen: 16, Best: 53.6, Mean: 5950.5425
Gen: 17, Best: 53.6, Mean: 5616.8994
Gen: 18, Best: 48.3, Mean: 5231.693
Gen: 19, Best: 48.3, Mean: 5313.6416
Gen: 20, Best: 48.3, Mean: 4826.967
Gen: 21, Best: 48.3, Mean: 4685.628
Gen: 22, Best: 48.3, Mean: 4354.378
Gen: 23, Best: 48.3, Mean: 4855.9585
Gen: 24, Best: 48.3, Mean: 4459.7793
Gen: 25, Best: 48.3, Mean: 4601.912
Gen: 26, Best: 48.3, Mean: 4650.204
Gen: 27, Best: 48.3, Mean: 4388.0474
Gen: 28, Best: 48.3, Mean: 4172.485
Gen: 29, Best: 48.3, Mean: 3679.0137
Gen: 30, Best: 48.3, Mean: 3868.5024
Gen: 31, Best: 48.3, Mean: 3867.156
Gen: 32, Best: 48.3, Mean: 3311.7686
Gen: 33, Best: 48.3, Mean: 3465.534
Gen: 34, Best: 48.3, Mean: 3411.4712
Gen: 35, Best: 48.3, Mean: 3095.6333
Gen: 36, Best: 48.3, Mean: 2550.0466
Gen: 37, Best: 48.3, Mean: 2973.3208
Gen: 38, Best: 48.3, Mean: 3218.5457
Gen: 39, Best: 48.3, Mean: 2730.9956
Gen: 40, Best: 48.3, Mean: 3068.0571
Gen: 41, Best: 48.3, Mean: 2421.5972
Gen: 42, Best: 48.3, Mean: 2440.29
Gen: 43, Best: 48.3, Mean: 2199.3254
Gen: 44, Best: 48.3, Mean: 2431.452
Gen: 45, Best: 48.3, Mean: 2414.958
Gen: 46, Best: 48.3, Mean: 2036.5626
Gen: 47, Best: 48.3, Mean: 2490.874
Gen: 48, Best: 48.3, Mean: 2024.0117
Gen: 49, Best: 46.1, Mean: 2294.9712
Gen: 50, Best: 46.1, Mean: 1985.4402
Gen: 51, Best: 46.1, Mean: 1996.4734
Gen: 52, Best: 46.1, Mean: 2097.2507
Gen: 53, Best: 46.1, Mean: 2226.8538
Gen: 54, Best: 46.1, Mean: 2007.2448
Gen: 55, Best: 46.1, Mean: 1694.7902
Gen: 56, Best: 46.1, Mean: 2004.5033
Gen: 57, Best: 46.1, Mean: 1843.4885
Gen: 58, Best: 46.1, Mean: 2073.653
Gen: 59, Best: 46.1, Mean: 1979.0552
Gen: 60, Best: 46.1, Mean: 1760.149
Gen: 61, Best: 46.1, Mean: 1731.0845
Gen: 62, Best: 46.1, Mean: 1614.102
Gen: 63, Best: 46.1, Mean: 2092.5037
Gen: 64, Best: 46.1, Mean: 1920.3492
Gen: 65, Best: 46.1, Mean: 1499.1583
Gen: 66, Best: 46.1, Mean: 1526.0215
Gen: 67, Best: 46.1, Mean: 1503.6215
Gen: 68, Best: 46.1, Mean: 1902.6152
Gen: 69, Best: 46.1, Mean: 1621.1056
Gen: 70, Best: 46.1, Mean: 1669.7947
Gen: 71, Best: 46.1, Mean: 1319.7561
Gen: 72, Best: 43.2, Mean: 1776.1342
Gen: 73, Best: 43.2, Mean: 1531.7806
Gen: 74, Best: 43.2, Mean: 1565.6058
Gen: 75, Best: 43.2, Mean: 1661.1931
Gen: 76, Best: 43.2, Mean: 1302.8214
Gen: 77, Best: 43.2, Mean: 1430.0925
Gen: 78, Best: 42.8, Mean: 1443.1816
Gen: 79, Best: 42.8, Mean: 1714.6011
Gen: 80, Best: 42.8, Mean: 1564.3987
Gen: 81, Best: 42.8, Mean: 1520.4841
Gen: 82, Best: 42.1, Mean: 1433.8867
Gen: 83, Best: 42.1, Mean: 1532.7976
Gen: 84, Best: 42.1, Mean: 1549.0006
Gen: 85, Best: 42.1, Mean: 1506.2921
Gen: 86, Best: 42.1, Mean: 1344.9863
Gen: 87, Best: 42.1, Mean: 1370.0228
Gen: 88, Best: 42.1, Mean: 1518.1887
Gen: 89, Best: 42.1, Mean: 1662.3746
Gen: 90, Best: 42.1, Mean: 1391.2245
Gen: 91, Best: 42.1, Mean: 1399.7108
Gen: 92, Best: 42.1, Mean: 1439.0756
Gen: 93, Best: 42.1, Mean: 1626.1583
Gen: 94, Best: 42.1, Mean: 1587.6705
Gen: 95, Best: 42.1, Mean: 1467.6757
Gen: 96, Best: 42.1, Mean: 1576.7914
Gen: 97, Best: 42.1, Mean: 1453.2244
Gen: 98, Best: 42.1, Mean: 1313.8512
Gen: 99, Best: 42.1, Mean: 1428.3845
Gen: 100, Best: 42.1, Mean: 1548.1367
