Gen: 0, Best: 1563, Mean: 11089.322
Gen: 1, Best: 1563, Mean: 10858.232
Gen: 2, Best: 1563, Mean: 10850.143
Gen: 3, Best: 1563, Mean: 10513.751
Gen: 4, Best: 1563, Mean: 10311.396
Gen: 5, Best: 1563, Mean: 10433.589
Gen: 6, Best: 1563, Mean: 10716.632
Gen: 7, Best: 1563, Mean: 10420.663
Gen: 8, Best: 1563, Mean: 10782.645
Gen: 9, Best: 1411.2, Mean: 10672.617
Gen: 10, Best: 1299.4, Mean: 10449.52
Gen: 11, Best: 1299.4, Mean: 10112.326
Gen: 12, Best: 1104.1, Mean: 10326.018
Gen: 13, Best: 1104.1, Mean: 10471.67
Gen: 14, Best: 1104.1, Mean: 10404.679
Gen: 15, Best: 1104.1, Mean: 10312.467
Gen: 16, Best: 1104.1, Mean: 9891.129
Gen: 17, Best: 1104.1, Mean: 10002.843
Gen: 18, Best: 1104.1, Mean: 10097.492
Gen: 19, Best: 1104.1, Mean: 10019.022
Gen: 20, Best: 1104.1, Mean: 9884.635
Gen: 21, Best: 1104.1, Mean: 9776.955
Gen: 22, Best: 1104.1, Mean: 10299.292
Gen: 23, Best: 1104.1, Mean: 10034.881
Gen: 24, Best: 1093.9, Mean: 9622.126
Gen: 25, Best: 1093.9, Mean: 9482.835
Gen: 26, Best: 1093.9, Mean: 9840.412
Gen: 27, Best: 1093.9, Mean: 9306.647
Gen: 28, Best: 961.3, Mean: 9721.851
Gen: 29, Best: 874.3, Mean: 9365.9
Gen: 30, Best: 874.3, Mean: 9428.395
Gen: 31, Best: 874.3, Mean: 9212.122
Gen: 32, Best: 874.3, Mean: 8911.449
Gen: 33, Best: 874.3, Mean: 8888.187
Gen: 34, Best: 629.2, Mean: 8971.416
Gen: 35, Best: 629.2, Mean: 8778.987
Gen: 36, Best: 629.2, Mean: 8710.191
Gen: 37, Best: 629.2, Mean: 9036.362
Gen: 38, Best: 629.2, Mean: 8798.067
Gen: 39, Best: 474.2, Mean: 8915.886
Gen: 40, Best: 474.2, Mean: 8867.694
Gen: 41, Best: 474.2, Mean: 8845.237
Gen: 42, Best: 432.3, Mean: 8399.196
Gen: 43, Best: 432.3, Mean: 8476.624
Gen: 44, Best: 432.3, Mean: 8293.746
Gen: 45, Best: 432.3, Mean: 8544.955
Gen: 46, Best: 432.3, Mean: 8341.676
Gen: 47, Best: 365.6, Mean: 8842.65
Gen: 48, Best: 365.6, Mean: 8585.371
Gen: 49, Best: 365.6, Mean: 8261.675
Gen: 50, Best: 333.1, Mean: 8020.713
Gen: 51, Best: 333.1, Mean: 7850.87
Gen: 52, Best: 333.1, Mean: 7988.009
Gen: 53, Best: 231, Mean: 7958.169
Gen: 54, Best: 231, Mean: 8136.2446
Gen: 55, Best: 231, Mean: 7910.769
Gen: 56, Best: 231, Mean: 8193.045
Gen: 57, Best: 231, Mean: 8506.772
Gen: 58, Best: 165.8, Mean: 8436.689
Gen: 59, Best: 165.8, Mean: 7761.8613
Gen: 60, Best: 165.8, Mean: 7783.4595
Gen: 61, Best: 165.8, Mean: 7828.1543
Gen: 62, Best: 165.8, Mean: 8403.374
Gen: 63, Best: 165.8, Mean: 7519.916
Gen: 64, Best: 165.8, Mean: 7763.3564
Gen: 65, Best: 165.8, Mean: 7987.304
Gen: 66, Best: 165.8, Mean: 7947.5205
Gen: 67, Best: 165.8, Mean: 7909.378
Gen: 68, Best: 165.8, Mean: 7506.0166
Gen: 69, Best: 165.8, Mean: 7546.6025
Gen: 70, Best: 165.8, Mean: 7677.987
Gen: 71, Best: 165.8, Mean: 7959.3794
Gen: 72, Best: 165.8, Mean: 7494.362
Gen: 73, Best: 165.8, Mean: 7436.4326
Gen: 74, Best: 165.8, Mean: 7567.801
Gen: 75, Best: 165.8, Mean: 7752.305
Gen: 76, Best: 165.8, Mean: 7648.2656
Gen: 77, Best: 165.8, Mean: 7500.5015
Gen: 78, Best: 165.8, Mean: 7518.5063
Gen: 79, Best: 165.8, Mean: 7194.8735
Gen: 80, Best: 165.8, Mean: 7481.3037
Gen: 81, Best: 165.8, Mean: 7552.819
Gen: 82, Best: 165.8, Mean: 7430.797
Gen: 83, Best: 165.8, Mean: 7378.625
Gen: 84, Best: 165.8, Mean: 7672.2144
Gen: 85, Best: 165.8, Mean: 7701.4585
Gen: 86, Best: 165.8, Mean: 7517.6094
Gen: 87, Best: 165.8, Mean: 7411.573
Gen: 88, Best: 165.8, Mean: 7289.064
Gen: 89, Best: 165.8, Mean: 7372.4844
Gen: 90, Best: 165.8, Mean: 7660.0474
Gen: 91, Best: 165.8, Mean: 7550.932
Gen: 92, Best: 165.8, Mean: 7333.26
Gen: 93, Best: 165.8, Mean: 7157.991
Gen: 94, Best: 165.8, Mean: 7705.607
Gen: 95, Best: 165.8, Mean: 7203.907
Gen: 96, Best: 165.8, Mean: 7041.0474
Gen: 97, Best: 165.8, Mean: 6730.3203
Gen: 98, Best: 165.8, Mean: 6949.4272
Gen: 99, Best: 165.8, Mean: 7053.1978
Gen: 100, Best: 165.8, Mean: 7135.016
