Gen: 0, Best: 4233.3, Mean: 11395.797
Gen: 1, Best: 3336.9, Mean: 11173.872
Gen: 2, Best: 3252.3, Mean: 10657.687
Gen: 3, Best: 2534.7, Mean: 10936.52
Gen: 4, Best: 2408.4, Mean: 10449.888
Gen: 5, Best: 2408.4, Mean: 10989.474
Gen: 6, Best: 2408.4, Mean: 11033
Gen: 7, Best: 2408.4, Mean: 10981.096
Gen: 8, Best: 1231.2, Mean: 10586.168
Gen: 9, Best: 1197.9, Mean: 10364.994
Gen: 10, Best: 1197.9, Mean: 10106.453
Gen: 11, Best: 1197.9, Mean: 10944.009
Gen: 12, Best: 1197.9, Mean: 10238.761
Gen: 13, Best: 1197.9, Mean: 10384.326
Gen: 14, Best: 1197.9, Mean: 10444.712
Gen: 15, Best: 1197.9, Mean: 9948.122
Gen: 16, Best: 1197.9, Mean: 10290.809
Gen: 17, Best: 803.7, Mean: 10123.192
Gen: 18, Best: 803.7, Mean: 10439.94
Gen: 19, Best: 803.7, Mean: 10158.345
Gen: 20, Best: 803.7, Mean: 9640.015
Gen: 21, Best: 803.7, Mean: 9905.854
Gen: 22, Best: 803.7, Mean: 10377.478
Gen: 23, Best: 803.7, Mean: 9557.969
Gen: 24, Best: 803.7, Mean: 9594.197
Gen: 25, Best: 803.7, Mean: 9334.398
Gen: 26, Best: 803.7, Mean: 9899.287
Gen: 27, Best: 803.7, Mean: 9258.024
Gen: 28, Best: 803.7, Mean: 9397.317
Gen: 29, Best: 803.7, Mean: 9387.669
Gen: 30, Best: 803.7, Mean: 9737.802
Gen: 31, Best: 803.7, Mean: 9121.212
Gen: 32, Best: 803.7, Mean: 9227.302
Gen: 33, Best: 803.7, Mean: 9684.483
Gen: 34, Best: 713.6, Mean: 9340.501
Gen: 35, Best: 713.6, Mean: 9448.625
Gen: 36, Best: 713.6, Mean: 9416.974
Gen: 37, Best: 713.6, Mean: 9058.523
Gen: 38, Best: 713.6, Mean: 9126.464
Gen: 39, Best: 713.6, Mean: 9308.554
Gen: 40, Best: 713.6, Mean: 8940.209
Gen: 41, Best: 713.6, Mean: 8981.34
Gen: 42, Best: 713.6, Mean: 9254.428
Gen: 43, Best: 713.6, Mean: 9218.291
Gen: 44, Best: 713.6, Mean: 9209.928
Gen: 45, Best: 205.2, Mean: 8663.875
Gen: 46, Best: 205.2, Mean: 9249.114
Gen: 47, Best: 205.2, Mean: 8805.92
Gen: 48, Best: 205.2, Mean: 8925.778
Gen: 49, Best: 205.2, Mean: 8482.649
Gen: 50, Best: 205.2, Mean: 8686.6455
Gen: 51, Best: 205.2, Mean: 8889.323
Gen: 52, Best: 205.2, Mean: 8649.394
Gen: 53, Best: 205.2, Mean: 8480.651
Gen: 54, Best: 205.2, Mean: 8740.287
Gen: 55, Best: 205.2, Mean: 8581.628
Gen: 56, Best: 205.2, Mean: 8457.419
Gen: 57, Best: 205.2, Mean: 8705.372
Gen: 58, Best: 205.2, Mean: 8607.789
Gen: 59, Best: 205.2, Mean: 8535.743
Gen: 60, Best: 205.2, Mean: 8526.583
Gen: 61, Best: 205.2, Mean: 8435.235
Gen: 62, Best: 205.2, Mean: 8320.385
Gen: 63, Best: 205.2, Mean: 7885.5083
Gen: 64, Best: 205.2, Mean: 8254.426
Gen: 65, Best: 205.2, Mean: 7952.056
Gen: 66, Best: 205.2, Mean: 8281.729
Gen: 67, Best: 205.2, Mean: 8509.392
Gen: 68, Best: 205.2, Mean: 8136.503
Gen: 69, Best: 205.2, Mean: 7990.8794
Gen: 70, Best: 205.2, Mean: 8445.983
Gen: 71, Best: 205.2, Mean: 7659.9336
Gen: 72, Best: 205.2, Mean: 7918.0317
Gen: 73, Best: 205.2, Mean: 8236.746
Gen: 74, Best: 205.2, Mean: 7813.3364
Gen: 75, Best: 205.2, Mean: 7870.155
Gen: 76, Best: 205.2, Mean: 8193.501
Gen: 77, Best: 205.2, Mean: 8086.5244
Gen: 78, Best: 205.2, Mean: 7950.754
Gen: 79, Best: 205.2, Mean: 7723.396
Gen: 80, Best: 205.2, Mean: 7767.9204
Gen: 81, Best: 205.2, Mean: 7780.138
Gen: 82, Best: 205.2, Mean: 7922.389
Gen: 83, Best: 205.2, Mean: 7317.7407
Gen: 84, Best: 205.2, Mean: 7526.813
Gen: 85, Best: 205.2, Mean: 8045.3447
Gen: 86, Best: 205.2, Mean: 7553.8545
Gen: 87, Best: 205.2, Mean: 7552.635
Gen: 88, Best: 205.2, Mean: 7573.823
Gen: 89, Best: 205.2, Mean: 7838.0757
Gen: 90, Best: 205.2, Mean: 7277.005
Gen: 91, Best: 205.2, Mean: 7268.3843
Gen: 92, Best: 205.2, Mean: 7497.007
Gen: 93, Best: 205.2, Mean: 7490.579
Gen: 94, Best: 205.2, Mean: 7521.5913
Gen: 95, Best: 205.2, Mean: 7761.8433
Gen: 96, Best: 205.2, Mean: 7577.027
Gen: 97, Best: 205.2, Mean: 7521.6978
Gen: 98, Best: 205.2, Mean: 7618.8096
Gen: 99, Best: 205.2, Mean: 7566.866
Gen: 100, Best: 205.2, Mean: 7596.745
