Gen: 0, Best: 3354, Mean: 11961.474
Gen: 1, Best: 3354, Mean: 12305.84
Gen: 2, Best: 3354, Mean: 12366.924
Gen: 3, Best: 3354, Mean: 12211.536
Gen: 4, Best: 2442.3, Mean: 12155.891
Gen: 5, Best: 2442.3, Mean: 11950.179
Gen: 6, Best: 2442.3, Mean: 12212.337
Gen: 7, Best: 2421.3, Mean: 11929.129
Gen: 8, Best: 2421.3, Mean: 12027.441
Gen: 9, Best: 2421.3, Mean: 11926.112
Gen: 10, Best: 2421.3, Mean: 11937.787
Gen: 11, Best: 2421.3, Mean: 12031.65
Gen: 12, Best: 2421.3, Mean: 12280.362
Gen: 13, Best: 2421.3, Mean: 12115.724
Gen: 14, Best: 2421.3, Mean: 11983.338
Gen: 15, Best: 2421.3, Mean: 11521.882
Gen: 16, Best: 2421.3, Mean: 12345.496
Gen: 17, Best: 2245.9, Mean: 11542.311
Gen: 18, Best: 2245.9, Mean: 11791.665
Gen: 19, Best: 2130.7, Mean: 11961.76
Gen: 20, Best: 699.9, Mean: 12174.004
Gen: 21, Best: 699.9, Mean: 12070.245
Gen: 22, Best: 699.9, Mean: 11339.064
Gen: 23, Best: 699.9, Mean: 11680.135
Gen: 24, Best: 699.9, Mean: 11702.399
Gen: 25, Best: 699.9, Mean: 11103.301
Gen: 26, Best: 699.9, Mean: 11484.399
Gen: 27, Best: 699.9, Mean: 11506.167
Gen: 28, Best: 699.9, Mean: 11444.292
Gen: 29, Best: 699.9, Mean: 11489.832
Gen: 30, Best: 699.9, Mean: 11683.486
Gen: 31, Best: 699.9, Mean: 11165.049
Gen: 32, Best: 699.9, Mean: 11827.474
Gen: 33, Best: 699.9, Mean: 11717.91
Gen: 34, Best: 699.9, Mean: 11226.107
Gen: 35, Best: 699.9, Mean: 11695.46
Gen: 36, Best: 699.9, Mean: 11348.624
Gen: 37, Best: 699.9, Mean: 11386.496
Gen: 38, Best: 699.9, Mean: 11669.518
Gen: 39, Best: 699.9, Mean: 11351.239
Gen: 40, Best: 699.9, Mean: 11404.52
Gen: 41, Best: 699.9, Mean: 11016.67
Gen: 42, Best: 699.9, Mean: 11640.015
Gen: 43, Best: 699.9, Mean: 10876.3
Gen: 44, Best: 699.9, Mean: 11381.703
Gen: 45, Best: 699.9, Mean: 11256.684
Gen: 46, Best: 699.9, Mean: 10900.405
Gen: 47, Best: 699.9, Mean: 11643.621
Gen: 48, Best: 699.9, Mean: 11461.018
Gen: 49, Best: 699.9, Mean: 11019.136
Gen: 50, Best: 699.9, Mean: 11269.308
Gen: 51, Best: 699.9, Mean: 10984.468
Gen: 52, Best: 699.9, Mean: 11002.9
Gen: 53, Best: 699.9, Mean: 10874.577
Gen: 54, Best: 699.9, Mean: 11160.335
Gen: 55, Best: 699.9, Mean: 11241.335
Gen: 56, Best: 699.9, Mean: 11195.431
Gen: 57, Best: 699.9, Mean: 11141.058
Gen: 58, Best: 699.9, Mean: 10843.231
Gen: 59, Best: 699.9, Mean: 10536.689
Gen: 60, Best: 699.9, Mean: 10991.742
Gen: 61, Best: 699.9, Mean: 10918.28
Gen: 62, Best: 699.9, Mean: 10984.163
Gen: 63, Best: 699.9, Mean: 10351.615
Gen: 64, Best: 699.9, Mean: 10375.127
Gen: 65, Best: 699.9, Mean: 10560.532
Gen: 66, Best: 699.9, Mean: 11165.735
Gen: 67, Best: 699.9, Mean: 10242.593
Gen: 68, Best: 699.9, Mean: 10838.799
Gen: 69, Best: 699.9, Mean: 11154.731
Gen: 70, Best: 699.9, Mean: 11119.731
Gen: 71, Best: 699.9, Mean: 10519.928
Gen: 72, Best: 699.9, Mean: 10586.101
Gen: 73, Best: 699.9, Mean: 10746.735
Gen: 74, Best: 699.9, Mean: 10643.617
Gen: 75, Best: 699.9, Mean: 11037.174
Gen: 76, Best: 699.9, Mean: 11019.523
Gen: 77, Best: 699.9, Mean: 10767.331
Gen: 78, Best: 699.9, Mean: 10646.83
Gen: 79, Best: 699.9, Mean: 11001.551
Gen: 80, Best: 699.9, Mean: 10571.253
Gen: 81, Best: 699.9, Mean: 10510.195
Gen: 82, Best: 699.9, Mean: 10897.528
Gen: 83, Best: 699.9, Mean: 10696.267
Gen: 84, Best: 699.9, Mean: 10871.908
Gen: 85, Best: 699.9, Mean: 10870.901
Gen: 86, Best: 699.9, Mean: 10885.723
Gen: 87, Best: 699.9, Mean: 10865.184
Gen: 88, Best: 699.9, Mean: 10671.669
Gen: 89, Best: 257.1, Mean: 10786.885
Gen: 90, Best: 257.1, Mean: 10958.026
Gen: 91, Best: 257.1, Mean: 10528.633
Gen: 92, Best: 257.1, Mean: 11073.776
Gen: 93, Best: 257.1, Mean: 10786.654
Gen: 94, Best: 257.1, Mean: 10888.153
Gen: 95, Best: 257.1, Mean: 10599.224
Gen: 96, Best: 257.1, Mean: 10646.703
Gen: 97, Best: 257.1, Mean: 11047.347
Gen: 98, Best: 257.1, Mean: 10641.74
Gen: 99, Best: 257.1, Mean: 11291.74
Gen: 100, Best: 257.1, Mean: 11105.8955
