Gen: 0, Best: 130.8, Mean: 7828.103
Gen: 1, Best: 130.8, Mean: 7452.022
Gen: 2, Best: 130.8, Mean: 6696.9565
Gen: 3, Best: 76.8, Mean: 7273.0503
Gen: 4, Best: 63.8, Mean: 6566.276
Gen: 5, Best: 63.8, Mean: 6130.7065
Gen: 6, Best: 58.7, Mean: 5765.238
Gen: 7, Best: 57.7, Mean: 5869.2266
Gen: 8, Best: 57.7, Mean: 5546.123
Gen: 9, Best: 57.7, Mean: 5351.1025
Gen: 10, Best: 55.9, Mean: 5321.8184
Gen: 11, Best: 55.9, Mean: 5018.169
Gen: 12, Best: 55.9, Mean: 5104.748
Gen: 13, Best: 55.9, Mean: 4435.1494
Gen: 14, Best: 55.9, Mean: 4198.731
Gen: 15, Best: 55.9, Mean: 4109.8804
Gen: 16, Best: 55.9, Mean: 3585.908
Gen: 17, Best: 55.9, Mean: 3299.6614
Gen: 18, Best: 55.9, Mean: 3085.8794
Gen: 19, Best: 53.9, Mean: 2903.9524
Gen: 20, Best: 53.9, Mean: 2556.3787
Gen: 21, Best: 53, Mean: 2555.9612
Gen: 22, Best: 53, Mean: 2373.3171
Gen: 23, Best: 51.2, Mean: 2250.5225
Gen: 24, Best: 51.2, Mean: 2088.9963
Gen: 25, Best: 50.8, Mean: 2214.3132
Gen: 26, Best: 50.8, Mean: 1952.5896
Gen: 27, Best: 50.8, Mean: 1873.3523
Gen: 28, Best: 50.8, Mean: 1798.2562
Gen: 29, Best: 49.1, Mean: 1658.4971
Gen: 30, Best: 49.1, Mean: 1525.3757
Gen: 31, Best: 46.9, Mean: 1437.2797
Gen: 32, Best: 46.9, Mean: 1398.059
Gen: 33, Best: 46.9, Mean: 1347.0619
Gen: 34, Best: 46.9, Mean: 1683.036
Gen: 35, Best: 46.9, Mean: 1323.2234
Gen: 36, Best: 46.9, Mean: 1358.4248
Gen: 37, Best: 46.9, Mean: 1308.7789
Gen: 38, Best: 46.9, Mean: 1101.2518
Gen: 39, Best: 46.9, Mean: 1112.733
Gen: 40, Best: 46.9, Mean: 993.5886
Gen: 41, Best: 46.9, Mean: 1061.3198
Gen: 42, Best: 46.9, Mean: 969.4286
Gen: 43, Best: 46.9, Mean: 831.982
Gen: 44, Best: 46.9, Mean: 996.504
Gen: 45, Best: 46.9, Mean: 774.0273
Gen: 46, Best: 46.9, Mean: 763.5664
Gen: 47, Best: 45.4, Mean: 711.12646
Gen: 48, Best: 45.4, Mean: 824.35425
Gen: 49, Best: 45.4, Mean: 717.46216
Gen: 50, Best: 45.4, Mean: 912.6532
Gen: 51, Best: 45.4, Mean: 941.95245
Gen: 52, Best: 45.4, Mean: 871.1193
Gen: 53, Best: 41.7, Mean: 707.2282
Gen: 54, Best: 41.7, Mean: 647.54407
Gen: 55, Best: 41.7, Mean: 528.1528
Gen: 56, Best: 41.7, Mean: 819.294
Gen: 57, Best: 41.7, Mean: 745.0982
Gen: 58, Best: 41.7, Mean: 710.66144
Gen: 59, Best: 41.7, Mean: 756.22845
Gen: 60, Best: 41.7, Mean: 696.9595
Gen: 61, Best: 41.7, Mean: 670.21674
Gen: 62, Best: 41.7, Mean: 672.20776
Gen: 63, Best: 41.7, Mean: 645.7131
Gen: 64, Best: 41.7, Mean: 679.31445
Gen: 65, Best: 41.7, Mean: 506.83966
Gen: 66, Best: 41.7, Mean: 619.9677
Gen: 67, Best: 41.7, Mean: 597.75574
Gen: 68, Best: 41.7, Mean: 741.40247
Gen: 69, Best: 40.8, Mean: 598.8939
Gen: 70, Best: 40.8, Mean: 529.8965
Gen: 71, Best: 40.8, Mean: 600.9927
Gen: 72, Best: 39.2, Mean: 599.7553
Gen: 73, Best: 39.2, Mean: 707.2269
Gen: 74, Best: 39.2, Mean: 790.2874
Gen: 75, Best: 39.2, Mean: 571.93134
Gen: 76, Best: 39.2, Mean: 644.49
Gen: 77, Best: 39.2, Mean: 758.4083
Gen: 78, Best: 39.2, Mean: 692.63873
Gen: 79, Best: 39.2, Mean: 641.26587
Gen: 80, Best: 39.2, Mean: 607.61285
Gen: 81, Best: 39.2, Mean: 662.3398
Gen: 82, Best: 39.2, Mean: 611.90405
Gen: 83, Best: 39.2, Mean: 696.6344
Gen: 84, Best: 39.2, Mean: 936.4153
Gen: 85, Best: 39.2, Mean: 705.11414
Gen: 86, Best: 39.2, Mean: 826.9242
Gen: 87, Best: 39.2, Mean: 623.79535
Gen: 88, Best: 39.2, Mean: 600.26117
Gen: 89, Best: 39.2, Mean: 584.2984
Gen: 90, Best: 39.2, Mean: 403.5969
Gen: 91, Best: 39.2, Mean: 594.439
Gen: 92, Best: 39.2, Mean: 577.253
Gen: 93, Best: 39.2, Mean: 619.33984
Gen: 94, Best: 39.2, Mean: 784.4208
Gen: 95, Best: 39.2, Mean: 757.423
Gen: 96, Best: 39.2, Mean: 684.2108
Gen: 97, Best: 39.2, Mean: 603.0297
Gen: 98, Best: 39.2, Mean: 775.4248
Gen: 99, Best: 39.2, Mean: 778.58215
Gen: 100, Best: 39.2, Mean: 563.94226
