Gen: 0, Best: 7558.5, Mean: 17526.197
Gen: 1, Best: 7002.7, Mean: 17440.83
Gen: 2, Best: 5630.2, Mean: 17205.898
Gen: 3, Best: 5630.2, Mean: 17162.357
Gen: 4, Best: 5630.2, Mean: 16705.09
Gen: 5, Best: 5630.2, Mean: 17213.604
Gen: 6, Best: 5630.2, Mean: 17210.676
Gen: 7, Best: 5630.2, Mean: 16953.29
Gen: 8, Best: 5630.2, Mean: 17236.59
Gen: 9, Best: 5630.2, Mean: 17302.596
Gen: 10, Best: 5630.2, Mean: 17008.793
Gen: 11, Best: 5630.2, Mean: 17194.502
Gen: 12, Best: 5630.2, Mean: 17049.275
Gen: 13, Best: 5630.2, Mean: 17530.184
Gen: 14, Best: 5630.2, Mean: 17402.2
Gen: 15, Best: 5630.2, Mean: 17141.057
Gen: 16, Best: 5630.2, Mean: 16578.666
Gen: 17, Best: 5630.2, Mean: 17186.91
Gen: 18, Best: 5630.2, Mean: 16862.83
Gen: 19, Best: 5630.2, Mean: 16777.17
Gen: 20, Best: 5630.2, Mean: 16866.867
Gen: 21, Best: 5630.2, Mean: 16828.662
Gen: 22, Best: 5630.2, Mean: 16879.98
Gen: 23, Best: 4925.8, Mean: 16432.203
Gen: 24, Best: 3256.4, Mean: 17199.275
Gen: 25, Best: 3256.4, Mean: 16873.602
Gen: 26, Best: 3256.4, Mean: 16303.614
Gen: 27, Best: 3256.4, Mean: 17143.66
Gen: 28, Best: 3256.4, Mean: 16412.021
Gen: 29, Best: 3256.4, Mean: 16669.256
Gen: 30, Best: 3256.4, Mean: 16406.162
Gen: 31, Best: 3256.4, Mean: 16718.23
Gen: 32, Best: 3256.4, Mean: 16434.656
Gen: 33, Best: 3256.4, Mean: 16088.36
Gen: 34, Best: 3256.4, Mean: 16046.781
Gen: 35, Best: 3256.4, Mean: 15808.781
Gen: 36, Best: 3256.4, Mean: 15726.236
Gen: 37, Best: 3256.4, Mean: 16184.681
Gen: 38, Best: 3256.4, Mean: 16093.878
Gen: 39, Best: 3256.4, Mean: 15849.758
Gen: 40, Best: 3256.4, Mean: 15608.314
Gen: 41, Best: 3256.4, Mean: 16190.948
Gen: 42, Best: 2601.2, Mean: 16134.667
Gen: 43, Best: 2601.2, Mean: 15325.1
Gen: 44, Best: 2601.2, Mean: 15640.854
Gen: 45, Best: 2601.2, Mean: 15736.126
Gen: 46, Best: 2601.2, Mean: 15874.637
Gen: 47, Best: 2601.2, Mean: 15451.119
Gen: 48, Best: 2601.2, Mean: 15678.653
Gen: 49, Best: 2601.2, Mean: 15558.28
Gen: 50, Best: 2601.2, Mean: 15274.376
Gen: 51, Best: 2601.2, Mean: 15297.177
Gen: 52, Best: 2601.2, Mean: 15412.51
Gen: 53, Best: 2601.2, Mean: 15406.797
Gen: 54, Best: 2601.2, Mean: 14853.862
Gen: 55, Best: 2601.2, Mean: 15469.7
Gen: 56, Best: 2601.2, Mean: 15506.867
Gen: 57, Best: 2601.2, Mean: 15643.104
Gen: 58, Best: 2601.2, Mean: 14988.958
Gen: 59, Best: 2601.2, Mean: 15122.209
Gen: 60, Best: 2601.2, Mean: 14787.537
Gen: 61, Best: 2601.2, Mean: 15177.124
Gen: 62, Best: 493.6, Mean: 14607.102
Gen: 63, Best: 493.6, Mean: 14483.852
Gen: 64, Best: 493.6, Mean: 14704.412
Gen: 65, Best: 493.6, Mean: 14140.523
Gen: 66, Best: 493.6, Mean: 14405.976
Gen: 67, Best: 493.6, Mean: 14198.235
Gen: 68, Best: 493.6, Mean: 14786.821
Gen: 69, Best: 493.6, Mean: 14593.49
Gen: 70, Best: 493.6, Mean: 14353.582
Gen: 71, Best: 493.6, Mean: 14178.885
Gen: 72, Best: 493.6, Mean: 14261.6
Gen: 73, Best: 493.6, Mean: 13493.292
Gen: 74, Best: 493.6, Mean: 14054.568
Gen: 75, Best: 493.6, Mean: 14224.27
Gen: 76, Best: 493.6, Mean: 13900.592
Gen: 77, Best: 493.6, Mean: 13944.355
Gen: 78, Best: 493.6, Mean: 13751.117
Gen: 79, Best: 493.6, Mean: 13680.573
Gen: 80, Best: 493.6, Mean: 13639.695
Gen: 81, Best: 493.6, Mean: 13404.51
Gen: 82, Best: 493.6, Mean: 13870.422
Gen: 83, Best: 493.6, Mean: 13526.108
Gen: 84, Best: 493.6, Mean: 13062.321
Gen: 85, Best: 493.6, Mean: 13335.285
Gen: 86, Best: 493.6, Mean: 13344.154
Gen: 87, Best: 493.6, Mean: 13736.1455
Gen: 88, Best: 493.6, Mean: 13626.244
Gen: 89, Best: 493.6, Mean: 13359.3545
Gen: 90, Best: 493.6, Mean: 13058.786
Gen: 91, Best: 493.6, Mean: 13620.924
Gen: 92, Best: 493.6, Mean: 12987.892
Gen: 93, Best: 493.6, Mean: 12704.953
Gen: 94, Best: 493.6, Mean: 13122.974
Gen: 95, Best: 493.6, Mean: 13586.505
Gen: 96, Best: 493.6, Mean: 12769.045
Gen: 97, Best: 493.6, Mean: 13304.648
Gen: 98, Best: 493.6, Mean: 13344.261
Gen: 99, Best: 493.6, Mean: 12775.89
Gen: 100, Best: 493.6, Mean: 13445.463
