Gen: 0, Best: 2760, Mean: 12054.618
Gen: 1, Best: 1685.5, Mean: 11463.058
Gen: 2, Best: 122.1, Mean: 10777.378
Gen: 3, Best: 122.1, Mean: 9479.436
Gen: 4, Best: 68.2, Mean: 9595.5205
Gen: 5, Best: 68.2, Mean: 8531.706
Gen: 6, Best: 68.2, Mean: 7880.011
Gen: 7, Best: 53.8, Mean: 7656.729
Gen: 8, Best: 53.8, Mean: 7264.1416
Gen: 9, Best: 53.8, Mean: 6013.5503
Gen: 10, Best: 52.8, Mean: 5090.958
Gen: 11, Best: 52.8, Mean: 5168.754
Gen: 12, Best: 52.8, Mean: 5512.4272
Gen: 13, Best: 52.8, Mean: 4919.6455
Gen: 14, Best: 52.8, Mean: 5298.7866
Gen: 15, Best: 52.8, Mean: 4678.619
Gen: 16, Best: 52.5, Mean: 4974.794
Gen: 17, Best: 52.5, Mean: 4962.2744
Gen: 18, Best: 52.5, Mean: 4142.5435
Gen: 19, Best: 52.5, Mean: 4108.3984
Gen: 20, Best: 52.5, Mean: 3991.231
Gen: 21, Best: 52.5, Mean: 3472.223
Gen: 22, Best: 52.5, Mean: 3633.84
Gen: 23, Best: 52.5, Mean: 3754.1003
Gen: 24, Best: 52.4, Mean: 3427.0103
Gen: 25, Best: 43.6, Mean: 3786.2708
Gen: 26, Best: 43.6, Mean: 3245.8555
Gen: 27, Best: 43.6, Mean: 3198.8064
Gen: 28, Best: 43.6, Mean: 3440.85
Gen: 29, Best: 43.6, Mean: 3406.528
Gen: 30, Best: 43.6, Mean: 3497.4546
Gen: 31, Best: 43.6, Mean: 3646.9094
Gen: 32, Best: 43.6, Mean: 3225.867
Gen: 33, Best: 43.6, Mean: 3012.3286
Gen: 34, Best: 43.6, Mean: 2851.8318
Gen: 35, Best: 43.6, Mean: 2810.6196
Gen: 36, Best: 43.6, Mean: 2533.8435
Gen: 37, Best: 43.6, Mean: 2843.0208
Gen: 38, Best: 43.6, Mean: 2375.9646
Gen: 39, Best: 43.6, Mean: 2379.6746
Gen: 40, Best: 43.6, Mean: 2646.9854
Gen: 41, Best: 43.6, Mean: 2552.4087
Gen: 42, Best: 43.6, Mean: 2166.224
Gen: 43, Best: 43.6, Mean: 2331.0217
Gen: 44, Best: 43.6, Mean: 2196.7258
Gen: 45, Best: 43.6, Mean: 1987.7206
Gen: 46, Best: 43.6, Mean: 1915.4524
Gen: 47, Best: 43.6, Mean: 1772.3291
Gen: 48, Best: 43.6, Mean: 1843.0239
Gen: 49, Best: 43.6, Mean: 2124.5803
Gen: 50, Best: 43.6, Mean: 1914.3767
Gen: 51, Best: 43.6, Mean: 1694.0825
Gen: 52, Best: 43.6, Mean: 1808.0244
Gen: 53, Best: 43.6, Mean: 1490.9692
Gen: 54, Best: 43.6, Mean: 1350.9409
Gen: 55, Best: 43.6, Mean: 1481.4885
Gen: 56, Best: 43.6, Mean: 1392.8516
Gen: 57, Best: 43.6, Mean: 1405.2404
Gen: 58, Best: 43.6, Mean: 1500.1598
Gen: 59, Best: 43.6, Mean: 1896.545
Gen: 60, Best: 43.6, Mean: 1315.6322
Gen: 61, Best: 43.6, Mean: 1473.9199
Gen: 62, Best: 43.6, Mean: 1249.0859
Gen: 63, Best: 43.6, Mean: 1457.5883
Gen: 64, Best: 43.6, Mean: 1337.6993
Gen: 65, Best: 43.6, Mean: 1272.4213
Gen: 66, Best: 43.6, Mean: 1297.0477
Gen: 67, Best: 43.6, Mean: 1506.3291
Gen: 68, Best: 43.6, Mean: 1460.3265
Gen: 69, Best: 43.6, Mean: 1255.2798
Gen: 70, Best: 43.6, Mean: 1413.5012
Gen: 71, Best: 43.6, Mean: 1410.0273
Gen: 72, Best: 43.6, Mean: 1147.3374
Gen: 73, Best: 43.6, Mean: 1606.4644
Gen: 74, Best: 43.6, Mean: 1363.263
Gen: 75, Best: 43.6, Mean: 1773.0542
Gen: 76, Best: 43.6, Mean: 1354.7852
Gen: 77, Best: 43.6, Mean: 1675.4431
Gen: 78, Best: 43.6, Mean: 1457.342
Gen: 79, Best: 41, Mean: 1350.4226
Gen: 80, Best: 41, Mean: 1202.3082
Gen: 81, Best: 41, Mean: 1271.6124
Gen: 82, Best: 41, Mean: 1313.1371
Gen: 83, Best: 41, Mean: 1504.4153
Gen: 84, Best: 41, Mean: 1362.6339
Gen: 85, Best: 41, Mean: 1255.0178
Gen: 86, Best: 41, Mean: 1279.2319
Gen: 87, Best: 41, Mean: 1356.754
Gen: 88, Best: 41, Mean: 1240.2517
Gen: 89, Best: 41, Mean: 1322.178
Gen: 90, Best: 41, Mean: 1290.6976
Gen: 91, Best: 41, Mean: 1201.6979
Gen: 92, Best: 41, Mean: 1445.8761
Gen: 93, Best: 41, Mean: 1316.1908
Gen: 94, Best: 41, Mean: 1572.8685
Gen: 95, Best: 41, Mean: 1232.1343
Gen: 96, Best: 41, Mean: 1186.9092
Gen: 97, Best: 41, Mean: 1192.6376
Gen: 98, Best: 41, Mean: 1391.466
Gen: 99, Best: 41, Mean: 1292.9684
Gen: 100, Best: 41, Mean: 1241.5374
